name,family,cv_mean,cv_std,fold_scores,batch,run_at
knn_scaler_standard_k21_uniform_p1,KNN,0.7979972749970056,0.0089315238489445,0.810236;0.791259;0.802185;0.801496;0.784810,knn_scaler_compare,2026-05-07T22:43:46
knn_weight_skew075_num100_k21_distance_p1,KNN,0.7979971426510615,0.0106882424974645,0.813686;0.791834;0.799310;0.803222;0.781933,knn_feature_weights,2026-05-07T22:59:52
knn_weight_cat050_bin100_k21_distance_p1,KNN,0.797883060447025,0.0089534182799908,0.804485;0.793560;0.798160;0.809551;0.783659,knn_feature_weights,2026-05-07T22:59:52
knn_no_name_refine_k25_distance_p2,KNN,0.7978825972362196,0.0087469599613915,0.805635;0.795285;0.799310;0.806674;0.782509,knn_no_name_refine,2026-05-07T22:46:35
knn_weight_cat050_bin100_k25_distance_p1,KNN,0.7977679856484058,0.0112894345351043,0.805060;0.792984;0.798160;0.813003;0.779632,knn_feature_weights,2026-05-07T22:59:52
knn_weight_cat100_bin125_k23_distance_p1,KNN,0.7977672577457118,0.0086927640639624,0.807361;0.794710;0.800460;0.803797;0.782509,knn_feature_weights,2026-05-07T22:59:52
knn_feature_no_name_standard_k27_uniform_p2,KNN,0.79776659601599,0.0092732985339887,0.809661;0.791834;0.806786;0.795742;0.784810,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_refine_k27_uniform_p2,KNN,0.79776659601599,0.0092732985339887,0.809661;0.791834;0.806786;0.795742;0.784810,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k25_uniform_p1,KNN,0.7975369758025292,0.0100934070806883,0.811961;0.788959;0.802760;0.800345;0.783659,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_fine_k25_uniform_p1,KNN,0.7975369758025292,0.0100934070806883,0.811961;0.788959;0.802760;0.800345;0.783659,knn_no_name_fine,2026-05-07T22:48:30
knn_weight_cat075_bin125_k23_distance_p1,KNN,0.7974223642147154,0.0098042103630202,0.803910;0.795285;0.800460;0.807825;0.779632,knn_feature_weights,2026-05-07T22:59:52
knn_weight_cat075_bin125_k25_distance_p1,KNN,0.7974221656957989,0.012213478689902,0.803335;0.795285;0.802760;0.810702;0.775029,knn_feature_weights,2026-05-07T22:59:52
knn_ablate_drop_interaction_cats_bin070_num120_k23_distance_p1,KNN,0.7973080834917626,0.0065180690039383,0.800460;0.794135;0.798160;0.806674;0.787112,knn_weight_ablation,2026-05-07T23:08:38
knn_weight_cat075_bin125_k21_distance_p1,KNN,0.797307554107985,0.0091943911356068,0.803910;0.794135;0.799310;0.807825;0.781358,knn_feature_weights,2026-05-07T22:59:52
knn_k_refine_standard_k29_uniform_p2,KNN,0.7973068923782632,0.0083555143097676,0.807361;0.791834;0.803910;0.799194;0.784235,knn_k_refine,2026-05-07T22:42:25
knn_scaler_standard_k29_uniform_p2,KNN,0.7973068923782632,0.0083555143097676,0.807361;0.791834;0.803910;0.799194;0.784235,knn_scaler_compare,2026-05-07T22:43:46
knn_weight_cat125_bin075_k21_distance_p1,KNN,0.7971920822715328,0.0082468453221008,0.808511;0.794135;0.798160;0.801496;0.783659,knn_feature_weights,2026-05-07T22:59:52
knn_k_refine_standard_k27_uniform_p2,KNN,0.7971918175796442,0.0099003149520986,0.807936;0.788959;0.806210;0.800345;0.782509,knn_k_refine,2026-05-07T22:42:25
knn_no_name_refine_k23_uniform_p1,KNN,0.7971916190607276,0.0129545585826618,0.809661;0.783784;0.811386;0.800921;0.780207,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_fine_k23_uniform_p1,KNN,0.7971916190607276,0.0129545585826618,0.809661;0.783784;0.811386;0.800921;0.780207,knn_no_name_fine,2026-05-07T22:48:30
knn_weight_cat125_bin075_k25_distance_p1,KNN,0.7969621311932112,0.0078612438412458,0.806786;0.794135;0.798160;0.802071;0.783659,knn_feature_weights,2026-05-07T22:59:52
knn_no_name_refine_k21_uniform_p1,KNN,0.7969618665013225,0.0119218703336448,0.809086;0.790684;0.801610;0.806674;0.776755,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_fine_k21_uniform_p1,KNN,0.7969618665013225,0.0119218703336448,0.809086;0.790684;0.801610;0.806674;0.776755,knn_no_name_fine,2026-05-07T22:48:30
knn_k_refine_standard_k33_uniform_p2,KNN,0.7968467255297311,0.0088312468352393,0.811386;0.790684;0.799885;0.796893;0.785386,knn_k_refine,2026-05-07T22:42:25
knn_ablate_drop_group_number_bin070_num120_k23_distance_p1,KNN,0.796731981595973,0.0086765302158566,0.806210;0.792409;0.800460;0.802647;0.781933,knn_weight_ablation,2026-05-07T23:08:38
knn_no_name_refine_k19_distance_p1,KNN,0.7967319154230008,0.0095711657962281,0.805060;0.795285;0.799310;0.804948;0.779056,knn_no_name_refine,2026-05-07T22:46:35
knn_scaler_standard_k25_uniform_p1,KNN,0.7967318492500286,0.0102055763577569,0.811961;0.787234;0.801035;0.799770;0.783659,knn_scaler_compare,2026-05-07T22:43:46
knn_k_refine_standard_k23_uniform_p2,KNN,0.7967317169040843,0.0101696197126427,0.810236;0.787809;0.803335;0.799770;0.782509,knn_k_refine,2026-05-07T22:42:25
knn_scaler_standard_k29_uniform_p1,KNN,0.7967316507311121,0.0106718517241249,0.811961;0.786084;0.803910;0.798044;0.783659,knn_scaler_compare,2026-05-07T22:43:46
knn_ablate_drop_group_number_bin070_num125_k23_distance_p1,KNN,0.7966170391432982,0.0079832950691213,0.803335;0.792984;0.801610;0.802647;0.782509,knn_weight_ablation,2026-05-07T23:08:38
knn_weight_cat125_bin075_k23_distance_p1,KNN,0.7963870218920044,0.0084111693003546,0.808511;0.787809;0.800460;0.799194;0.785961,knn_feature_weights,2026-05-07T22:59:52
knn_weight_cat125_bin100_k23_distance_p1,KNN,0.7963862939893105,0.0097201430261374,0.810811;0.791834;0.800460;0.797468;0.781358,knn_feature_weights,2026-05-07T22:59:52
knn_no_name_refine_k31_uniform_p2,KNN,0.7963859631244495,0.0108758207847336,0.810811;0.787809;0.807361;0.792865;0.783084,knn_no_name_refine,2026-05-07T22:46:35
knn_feature_no_name_standard_k29_uniform_p2,KNN,0.7963856984325608,0.0115593051210664,0.813111;0.789534;0.805635;0.792865;0.780783,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_refine_k29_uniform_p2,KNN,0.7963856984325608,0.0115593051210664,0.813111;0.789534;0.805635;0.792865;0.780783,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_fine_k26_distance_p1,KNN,0.7962720794393296,0.0082618639080492,0.808511;0.790109;0.797010;0.800921;0.784810,knn_no_name_fine,2026-05-07T22:48:30
knn_no_name_refine_k19_uniform_p1,KNN,0.7962716824014966,0.0088075515251625,0.805060;0.792409;0.801610;0.801496;0.780783,knn_no_name_refine,2026-05-07T22:46:35
knn_ablate_drop_interaction_cats_bin070_num125_k23_distance_p1,KNN,0.7961579310623211,0.0082353118925899,0.801035;0.790109;0.796435;0.808400;0.784810,knn_weight_ablation,2026-05-07T23:08:38
knn_k_refine_standard_k27_distance_p2,KNN,0.7961568061217938,0.0089830987189698,0.806786;0.788959;0.801610;0.800921;0.782509,knn_k_refine,2026-05-07T22:42:25
knn_weight_skew100_num075_k25_distance_p1,KNN,0.7961567399488219,0.0084065053755547,0.807936;0.792984;0.797010;0.800345;0.782509,knn_feature_weights,2026-05-07T22:59:52
knn_no_name_refine_k29_distance_p2,KNN,0.7961560120461278,0.0101809930355939,0.809661;0.791834;0.802760;0.796893;0.779632,knn_no_name_refine,2026-05-07T22:46:35
knn_weight_cat125_bin100_k25_distance_p1,KNN,0.7960419960150636,0.0089631998710432,0.807361;0.788384;0.799310;0.802071;0.783084,knn_feature_weights,2026-05-07T22:59:52
knn_weight_skew100_num075_k21_distance_p1,KNN,0.7960413342853419,0.0090010282412345,0.807936;0.795285;0.797585;0.799194;0.780207,knn_feature_weights,2026-05-07T22:59:52
knn_k_refine_standard_k29_distance_p2,KNN,0.7959269873894167,0.007051916714094,0.804485;0.790109;0.799885;0.799770;0.785386,knn_k_refine,2026-05-07T22:42:25
knn_weight_cat125_bin100_k21_distance_p1,KNN,0.795926722697528,0.0079919008316074,0.806786;0.791834;0.798160;0.799770;0.783084,knn_feature_weights,2026-05-07T22:59:52
knn_k_refine_standard_k31_distance_p2,KNN,0.795926722697528,0.008832841483262,0.807361;0.787809;0.801610;0.799194;0.783659,knn_k_refine,2026-05-07T22:42:25
knn_no_name_refine_k27_distance_p2,KNN,0.7959265903515835,0.0083197230506839,0.807361;0.791834;0.798735;0.799194;0.782509,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k23_distance_p2,KNN,0.7958125081475472,0.0104423088276943,0.805060;0.791834;0.792409;0.809551;0.780207,knn_no_name_refine,2026-05-07T22:46:35
knn_k_refine_standard_k23_distance_p2,KNN,0.7958123758016028,0.0085625129178286,0.806210;0.785509;0.798735;0.802647;0.785961,knn_k_refine,2026-05-07T22:42:25
knn_no_name_refine_k27_uniform_p1,KNN,0.7958111846881035,0.0121013633609168,0.811386;0.783784;0.805635;0.798044;0.780207,knn_no_name_refine,2026-05-07T22:46:35
knn_k_refine_standard_k25_uniform_p2,KNN,0.7956965731002897,0.0112113772294819,0.810811;0.785509;0.800460;0.801496;0.780207,knn_k_refine,2026-05-07T22:42:25
knn_scaler_standard_k25_uniform_p2,KNN,0.7956965731002897,0.0112113772294819,0.810811;0.785509;0.800460;0.801496;0.780207,knn_scaler_compare,2026-05-07T22:43:46
knn_weight_skew100_num075_k23_distance_p1,KNN,0.7953514810503769,0.0094849402548404,0.809086;0.788959;0.797585;0.799770;0.781358,knn_feature_weights,2026-05-07T22:59:52
knn_no_name_refine_k31_distance_p2,KNN,0.7953513487044325,0.0085095225635113,0.805635;0.788384;0.802760;0.796893;0.783084,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k33_distance_p2,KNN,0.7952366047706743,0.0097341453027378,0.805060;0.787234;0.801610;0.802071;0.780207,knn_no_name_refine,2026-05-07T22:46:35
knn_k_refine_standard_k25_distance_p2,KNN,0.7950065875193804,0.010076985933439,0.808511;0.785509;0.798735;0.800921;0.781358,knn_k_refine,2026-05-07T22:42:25
knn_no_name_fine_k22_uniform_p1,KNN,0.7950059919626308,0.0118576734789866,0.806210;0.788959;0.802760;0.802647;0.774453,knn_no_name_fine,2026-05-07T22:48:30
knn_k_refine_standard_k19_uniform_p2,KNN,0.7948923729693996,0.0091573459686093,0.807936;0.783209;0.794135;0.802071;0.787112,knn_k_refine,2026-05-07T22:42:25
knn_no_name_fine_k20_uniform_p1,KNN,0.7947765702680866,0.0100290659631002,0.808511;0.787809;0.795285;0.802071;0.780207,knn_no_name_fine,2026-05-07T22:48:30
knn_feature_no_name_standard_k23_uniform_p2,KNN,0.7946616278154118,0.0104392306314393,0.807361;0.789534;0.793560;0.804373;0.778481,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_refine_k23_uniform_p2,KNN,0.7946616278154118,0.0104392306314393,0.807361;0.789534;0.793560;0.804373;0.778481,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k33_uniform_p2,KNN,0.7945463544978763,0.0092194695113166,0.806786;0.783784;0.801610;0.796318;0.784235,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_fine_k24_uniform_p1,KNN,0.7945462883249039,0.0112280358554916,0.809661;0.784359;0.798735;0.800921;0.779056,knn_no_name_fine,2026-05-07T22:48:30
knn_k_refine_standard_k33_distance_p2,KNN,0.7945460236330153,0.0095104868724004,0.807361;0.787809;0.799885;0.797468;0.780207,knn_k_refine,2026-05-07T22:42:25
knn_k_refine_standard_k21_distance_p2,KNN,0.7942019903506573,0.007887705129351,0.805060;0.787234;0.792409;0.801496;0.784810,knn_k_refine,2026-05-07T22:42:25
knn_k_refine_standard_k21_uniform_p2,KNN,0.794086518514205,0.0084302916202255,0.806210;0.785509;0.796435;0.798619;0.783659,knn_k_refine,2026-05-07T22:42:25
knn_scaler_standard_k21_uniform_p2,KNN,0.794086518514205,0.0084302916202255,0.806210;0.785509;0.796435;0.798619;0.783659,knn_scaler_compare,2026-05-07T22:43:46
knn_feature_no_ids_standard_k23_uniform_p2,KNN,0.7933965329332956,0.0062030770776985,0.803335;0.788384;0.792409;0.796893;0.785961,knn_feature_trim,2026-05-07T22:44:10
knn_feature_no_ids_standard_k29_uniform_p2,KNN,0.793396268241407,0.0092503405137057,0.803910;0.783209;0.799310;0.799194;0.781358,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_refine_k21_distance_p2,KNN,0.7931663171630853,0.0095949627793712,0.803335;0.788384;0.792984;0.803222;0.777906,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k19_distance_p2,KNN,0.7931663171630852,0.0103902434612494,0.802185;0.787809;0.794710;0.804948;0.776180,knn_no_name_refine,2026-05-07T22:46:35
knn_no_name_refine_k21_uniform_p2,KNN,0.792706017968609,0.0114177219229783,0.806786;0.783784;0.794135;0.802647;0.776180,knn_no_name_refine,2026-05-07T22:46:35
knn_feature_core_spend_standard_k29_uniform_p2,KNN,0.7927058856226645,0.008671584273107,0.805635;0.782634;0.797585;0.794016;0.783659,knn_feature_trim,2026-05-07T22:44:10
knn_k_refine_standard_k19_distance_p2,KNN,0.7925920019375446,0.0092725467092252,0.803910;0.780909;0.790684;0.802647;0.784810,knn_k_refine,2026-05-07T22:42:25
knn_feature_no_ids_standard_k27_uniform_p2,KNN,0.7924762654092039,0.0081979401312579,0.798735;0.784359;0.798160;0.800345;0.780783,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_fine_k26_uniform_p1,KNN,0.792476000717315,0.0086883665609235,0.806210;0.782059;0.795285;0.794591;0.784235,knn_no_name_fine,2026-05-07T22:48:30
knn_feature_no_ids_standard_k25_uniform_p2,KNN,0.7920159000417551,0.0062658083867269,0.801035;0.787234;0.793560;0.795167;0.783084,knn_feature_trim,2026-05-07T22:44:10
knn_no_name_refine_k19_uniform_p2,KNN,0.7919010237620526,0.0119726754423125,0.803910;0.780909;0.795285;0.804373;0.775029,knn_no_name_refine,2026-05-07T22:46:35
knn_feature_core_spend_standard_k25_uniform_p2,KNN,0.7919004943782753,0.006349528783109,0.800460;0.788384;0.795860;0.792865;0.781933,knn_feature_trim,2026-05-07T22:44:10
knn_feature_core_spend_standard_k23_uniform_p2,KNN,0.7905203246975397,0.0052446089779435,0.798735;0.787234;0.792409;0.791139;0.783084,knn_feature_trim,2026-05-07T22:44:10
knn_feature_core_spend_standard_k27_uniform_p2,KNN,0.7899449507044444,0.0083147628486442,0.801610;0.781484;0.795285;0.791715;0.779632,knn_feature_trim,2026-05-07T22:44:10
knn_scaler_robust_k29_uniform_p1,KNN,0.7863788892337235,0.0076005321602079,0.798735;0.778033;0.790684;0.784810;0.779632,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k25_uniform_p2,KNN,0.7861491366743184,0.0081308493983764,0.791834;0.779758;0.792409;0.793441;0.773303,legacy,
knn_ablate_drop_ratio_numeric_bin070_num120_k23_distance_p1,KNN,0.7860343927405602,0.0070004192870996,0.789534;0.786659;0.784934;0.795167;0.773878,knn_weight_ablation,2026-05-07T23:08:38
knn_ablate_drop_ratio_numeric_bin070_num125_k23_distance_p1,KNN,0.7855744905839168,0.0066271514282584,0.790684;0.784934;0.782059;0.794591;0.775604,knn_weight_ablation,2026-05-07T23:08:38
knn_standard_k25_distance_p2,KNN,0.7855740273731118,0.0091766928673965,0.792984;0.776883;0.791834;0.794016;0.772152,legacy,
knn_standard_k35_uniform_p2,KNN,0.7845382880125676,0.0069381599582023,0.794710;0.778033;0.789534;0.784235;0.776180,legacy,
knn_standard_k25_distance_p1,KNN,0.78430906483694,0.0078649024783176,0.795860;0.776883;0.781484;0.791139;0.776180,legacy,
knn_standard_k15_uniform_p1,KNN,0.7838485671235469,0.0103993948818614,0.787809;0.793560;0.774583;0.794591;0.768700,legacy,
knn_scaler_robust_k21_uniform_p1,KNN,0.7837334261519556,0.0084316530244456,0.790684;0.780334;0.785509;0.792865;0.769275,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k35_distance_p2,KNN,0.783733161460067,0.0074006059109318,0.793560;0.778033;0.787234;0.787112;0.772727,legacy,
knn_standard_k15_distance_p1,KNN,0.7836188145641417,0.0106931849673733,0.788384;0.793560;0.770558;0.794591;0.771001,legacy,
knn_standard_k25_uniform_p1,KNN,0.7836183513533366,0.0060374025384944,0.794135;0.778033;0.784359;0.784235;0.777330,legacy,
knn_standard_k50_distance_p2,KNN,0.7835034089006618,0.00599176474294,0.792409;0.775158;0.787809;0.781358;0.780783,legacy,
knn_scaler_robust_k29_uniform_p2,KNN,0.7833882017560982,0.008798436036756,0.792984;0.774008;0.789534;0.788838;0.771577,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k50_distance_p1,KNN,0.7829277040427054,0.0090001333023574,0.798160;0.778033;0.782059;0.785386;0.771001,legacy,
knn_scaler_robust_k25_uniform_p2,KNN,0.782583207549542,0.0074969214321836,0.787234;0.777458;0.787234;0.790564;0.770426,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k15_uniform_p2,KNN,0.782354910795525,0.0108679254130346,0.789534;0.772858;0.773433;0.800345;0.775604,legacy,
knn_standard_k50_uniform_p2,KNN,0.782352396222582,0.0070773792810586,0.790684;0.775733;0.791259;0.777906;0.776180,legacy,
knn_standard_k75_distance_p2,KNN,0.7821237686037039,0.0055113896664912,0.781484;0.772858;0.790109;0.783084;0.783084,legacy,
knn_scaler_robust_k25_uniform_p1,KNN,0.7818924940659387,0.007959336413326,0.790109;0.776883;0.787234;0.786536;0.768700,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k50_uniform_p1,KNN,0.7818915676443282,0.009771949972539,0.797585;0.776308;0.788384;0.776755;0.770426,legacy,
knn_standard_k35_uniform_p1,KNN,0.7816620797768118,0.0096457892328772,0.792409;0.775733;0.788384;0.785961;0.765823,legacy,
knn_scaler_robust_k21_uniform_p2,KNN,0.7814325257363233,0.0085056146734351,0.791259;0.773433;0.786659;0.786536;0.769275,knn_scaler_compare,2026-05-07T22:43:46
knn_standard_k35_distance_p1,KNN,0.7806273330108503,0.0098842622635589,0.791259;0.773433;0.783784;0.789413;0.765247,legacy,
